,index,electricPanel,hoist,ladder,lift,overhead,push,sit,stand,type,walk,accuracy
0,f1-score,0.86,0.78,0.78,0.76,0.83,0.88,0.97,0.92,0.95,0.98,0.86
1,precision,0.84,0.92,0.76,0.71,0.94,0.88,0.98,0.93,0.96,1,0.86
2,recall,0.91,0.69,0.8,0.84,0.76,0.89,0.98,0.93,0.94,0.96,0.86
0,f1-score,0.9,0.84,0.85,0.81,0.74,0.93,0.99,0.98,0.95,1,0.9
1,precision,0.9,0.99,0.88,0.78,0.93,0.87,0.98,0.99,0.93,1,0.9
2,recall,0.92,0.76,0.84,0.88,0.66,1,0.99,0.98,0.99,1,0.9
0,f1-score,0.92,0.88,0.87,0.86,0.89,0.95,0.98,0.95,0.95,0.97,0.92
1,precision,0.91,0.95,0.86,0.84,0.95,0.94,0.98,0.97,0.96,0.96,0.92
2,recall,0.94,0.83,0.89,0.9,0.84,0.96,0.97,0.94,0.93,0.98,0.92
0,f1-score,0.9,0.94,0.95,0.94,0.69,0.92,0.99,0.98,0.98,0.99,0.94
1,precision,0.97,0.94,0.92,0.95,0.91,0.87,1,0.99,0.97,0.98,0.94
2,recall,0.88,0.96,0.99,0.93,0.61,1,0.98,0.97,0.99,1,0.94
0,f1-score,0.94,0.89,0.84,0.84,0.92,0.95,0.98,0.94,0.96,0.98,0.91
1,precision,0.9,0.92,0.82,0.85,0.96,0.97,0.99,0.94,0.98,0.99,0.91
2,recall,0.98,0.87,0.87,0.84,0.89,0.94,0.98,0.94,0.94,0.96,0.91
0,f1-score,0.96,0.97,0.96,0.93,0.93,0.98,1,0.99,0.99,1,0.97
1,precision,0.97,0.99,0.95,0.94,0.98,0.97,1,0.99,0.99,1,0.97
2,recall,0.97,0.96,0.97,0.94,0.89,1,0.99,0.99,0.99,1,0.97
0,f1-score,0.97,0.95,0.89,0.87,0.97,0.97,0.99,0.92,0.97,0.98,0.94
1,precision,0.95,0.99,0.89,0.84,1,0.97,0.99,0.92,0.99,0.99,0.94
2,recall,0.99,0.91,0.88,0.91,0.95,0.97,0.98,0.93,0.95,0.98,0.94
0,f1-score,1,0.98,0.98,0.98,0.99,0.99,0.99,1,0.99,1,0.99
1,precision,1,1,0.98,0.97,1,0.98,1,0.99,0.99,1,0.99
2,recall,0.99,0.97,0.98,0.98,0.99,1,0.99,1,1,1,0.99
0,f1-score,0.96,0.95,0.91,0.9,0.97,0.97,0.99,0.96,0.97,0.98,0.95
1,precision,0.94,0.98,0.9,0.92,1,0.98,1,0.96,0.99,0.98,0.95
2,recall,0.99,0.93,0.94,0.89,0.94,0.97,0.98,0.95,0.95,0.99,0.95
0,f1-score,0.98,0.99,0.97,0.97,0.98,1,1,1,1,1,0.99
1,precision,0.98,1,0.98,0.97,0.98,0.99,1,1,1,1,0.99
2,recall,0.98,0.98,0.98,0.98,0.98,1,1,1,0.99,1,0.99
0,f1-score,0.97,0.97,0.89,0.88,0.98,0.97,0.97,0.92,0.97,0.99,0.94
1,precision,0.96,0.99,0.86,0.89,1,0.98,0.98,0.95,0.99,0.99,0.94
2,recall,0.99,0.96,0.92,0.88,0.97,0.96,0.97,0.91,0.95,0.98,0.94
0,f1-score,0.99,0.99,0.99,0.99,1,1,0.99,1,0.99,1,0.99
1,precision,0.99,0.99,0.98,1,1,1,0.99,1,0.99,1,0.99
2,recall,0.99,0.99,0.99,0.98,0.99,1,0.99,1,0.99,1,0.99
0,f1-score,0.98,0.97,0.93,0.93,0.98,0.99,0.99,0.96,0.98,0.98,0.96
1,precision,0.96,0.99,0.93,0.92,0.99,0.99,0.99,0.98,0.99,0.97,0.96
2,recall,1,0.95,0.94,0.94,0.97,0.99,0.98,0.94,0.96,0.98,0.96
0,f1-score,0.99,0.99,0.99,0.99,1,1,1,1,0.99,1,0.99
1,precision,0.99,1,0.99,0.99,1,1,0.99,1,0.99,1,0.99
2,recall,0.99,0.98,0.99,1,0.99,1,1,1,0.99,1,0.99
0,f1-score,0.97,0.94,0.9,0.89,0.97,0.97,0.99,0.96,0.98,0.97,0.95
1,precision,0.96,0.96,0.89,0.89,1,0.98,0.99,0.97,0.99,0.95,0.95
2,recall,0.99,0.93,0.91,0.89,0.94,0.97,0.99,0.95,0.97,0.98,0.95
0,f1-score,0.99,0.99,0.96,0.94,0.97,0.99,0.99,1,0.99,1,0.98
1,precision,1,1,0.97,0.93,0.98,1,0.99,1,1,0.99,0.98
2,recall,0.99,0.99,0.95,0.97,0.97,0.99,1,0.99,0.98,1,0.98
0,f1-score,0.98,0.97,0.93,0.93,0.98,0.98,0.98,0.93,0.98,0.98,0.96
1,precision,0.96,0.98,0.92,0.94,0.99,0.99,0.99,0.94,0.99,0.97,0.96
2,recall,1,0.96,0.94,0.93,0.97,0.98,0.98,0.92,0.96,0.98,0.96
0,f1-score,1,0.99,0.99,0.99,1,1,1,1,1,1,0.99
1,precision,1,0.98,1,0.98,1,1,1,1,0.99,0.99,0.99
2,recall,1,1,0.98,0.99,0.99,1,0.99,0.99,1,1,0.99
